timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock
1759808238.9753687,2025-10-07 11:37:18.975,54.42,0,46,14994,16376,0,0,51.19,0,44,13562,16376,0,0,62.1,0,44,14556,16376,0,0,54.44,0,40,13562,16376,0,0
1759808239.1914577,2025-10-07 11:37:19.191,57.0,16,46,14994,16376,0,0,53.49,0,44,13562,16376,0,0,64.77,14,45,14556,16376,0,0,56.85,17,40,13562,16376,0,0
1759808239.3756819,2025-10-07 11:37:19.375,54.42,0,46,14994,16376,0,0,51.21,0,44,13562,16376,0,0,62.09,0,44,14556,16376,0,0,54.42,0,40,13562,16376,0,0
1759808239.575705,2025-10-07 11:37:19.575,57.04,20,46,14994,16376,0,0,53.49,19,45,13562,16376,0,0,64.77,19,45,14556,16376,0,0,56.82,17,40,13562,16376,0,0
1759808239.783173,2025-10-07 11:37:19.783,54.44,0,46,14994,16376,0,0,51.2,0,44,13562,16376,0,0,62.09,0,45,14556,16376,0,0,54.38,0,40,13562,16376,0,0
1759808239.966824,2025-10-07 11:37:19.966,54.43,4,46,14994,16376,0,0,53.46,19,44,13562,16376,0,0,63.26,11,44,14556,16376,0,0,54.32,0,42,13562,16376,0,0
1759808240.1704597,2025-10-07 11:37:20.170,56.99,0,46,14994,16376,0,0,51.18,0,44,13562,16376,0,0,64.44,0,45,14556,16376,0,0,56.71,0,40,13562,16376,0,0
1759808240.3854775,2025-10-07 11:37:20.385,54.35,0,46,14994,16376,0,0,51.18,0,44,13562,16376,0,0,62.08,0,44,14556,16376,0,0,54.26,0,40,13562,16376,0,0
1759808240.597693,2025-10-07 11:37:20.597,56.95,0,46,14994,16376,0,0,53.47,0,44,13562,16376,0,0,64.75,0,45,14556,16376,0,0,56.67,7,40,13562,16376,0,0
1759808240.8049355,2025-10-07 11:37:20.804,54.28,0,46,14994,16376,0,0,51.19,0,44,13562,16376,0,0,62.06,0,44,14556,16376,0,0,54.23,0,40,13562,16376,0,0
1759808241.0168486,2025-10-07 11:37:21.016,57.0,0,46,14994,16376,0,0,53.53,0,44,13562,16376,0,0,64.74,11,45,14556,16376,0,0,56.72,17,40,13562,16376,0,0
1759808241.2164254,2025-10-07 11:37:21.216,54.43,0,46,14994,16376,0,0,51.24,0,44,13562,16376,0,0,62.06,0,44,14556,16376,0,0,54.34,0,40,13562,16376,0,0
1759808241.4260035,2025-10-07 11:37:21.426,57.06,0,46,14994,16376,0,0,53.52,12,44,13562,16376,0,0,64.73,19,45,14556,16376,0,0,56.84,0,40,13562,16376,0,0
1759808241.6275947,2025-10-07 11:37:21.627,54.45,0,46,14994,16376,0,0,51.24,0,44,13562,16376,0,0,62.04,0,44,14556,16376,0,0,54.44,0,40,13562,16376,0,0
1759808241.8373504,2025-10-07 11:37:21.837,57.06,18,47,14994,16376,0,0,53.53,19,44,13562,16376,0,0,62.05,0,45,14556,16376,0,0,56.9,19,40,13562,16376,0,0
1759808242.0371995,2025-10-07 11:37:22.037,54.35,0,46,14994,16376,0,0,51.24,0,44,13562,16376,0,0,63.98,0,45,14556,16376,0,0,54.43,0,40,13562,16376,0,0
1759808242.2459335,2025-10-07 11:37:22.245,57.06,18,46,14994,16376,0,0,51.23,0,45,13562,16376,0,0,64.75,19,44,14556,16376,0,0,56.88,19,40,13562,16376,0,0
1759808242.4479249,2025-10-07 11:37:22.447,54.48,0,46,14994,16376,0,0,51.27,0,44,13562,16376,0,0,62.07,0,45,14556,16376,0,0,54.44,0,40,13562,16376,0,0
1759808242.6600437,2025-10-07 11:37:22.660,56.15,18,46,14994,16376,0,0,53.54,0,44,13562,16376,0,0,64.75,19,44,14556,16376,0,0,54.44,0,41,13562,16376,0,0
1759808242.8668094,2025-10-07 11:37:22.866,57.1,0,46,14994,16376,0,0,51.22,0,44,13562,16376,0,0,64.75,0,45,14556,16376,0,0,56.88,0,40,13562,16376,0,0
1759808243.0741382,2025-10-07 11:37:23.074,54.46,0,48,14994,16376,0,0,52.63,17,44,13562,16376,0,0,62.06,0,44,14556,16376,0,0,54.42,0,40,13562,16376,0,0
1759808243.2958233,2025-10-07 11:37:23.295,56.93,0,46,14994,16376,0,0,53.47,0,44,13562,16376,0,0,64.73,0,45,14556,16376,0,0,56.82,0,40,13562,16376,0,0
1759808243.514968,2025-10-07 11:37:23.514,54.4,0,46,14994,16376,0,0,51.19,0,44,13562,16376,0,0,62.07,0,44,14556,16376,0,0,54.41,0,40,13562,16376,0,0
1759808243.7078297,2025-10-07 11:37:23.707,55.28,0,46,14994,16376,0,0,53.49,0,44,13562,16376,0,0,64.75,1,45,14556,16376,0,0,56.83,19,40,13562,16376,0,0
1759808243.9237795,2025-10-07 11:37:23.923,54.34,0,46,14994,16376,0,0,51.23,0,44,13562,16376,0,0,62.07,0,44,14556,16376,0,0,54.39,0,40,13562,16376,0,0
1759808244.127334,2025-10-07 11:37:24.127,56.92,0,46,14994,16376,0,0,53.54,7,44,13562,16376,0,0,64.74,19,45,14556,16376,0,0,56.83,0,40,13562,16376,0,0
1759808244.331592,2025-10-07 11:37:24.331,54.33,0,46,14994,16376,0,0,51.27,0,44,13562,16376,0,0,62.08,0,44,14556,16376,0,0,54.38,0,40,13562,16376,0,0
1759808244.532549,2025-10-07 11:37:24.532,56.99,0,46,14994,16376,0,0,53.53,17,44,13562,16376,0,0,64.72,19,45,14556,16376,0,0,56.84,11,40,13562,16376,0,0
1759808244.7393234,2025-10-07 11:37:24.739,54.44,0,46,14994,16376,0,0,51.27,0,44,13562,16376,0,0,62.61,0,45,14556,16376,0,0,54.44,0,40,13562,16376,0,0
1759808244.9467552,2025-10-07 11:37:24.946,57.08,20,47,14994,16376,0,0,51.93,14,45,13562,16376,0,0,64.74,0,47,14556,16376,0,0,56.88,17,40,13562,16376,0,0
1759808245.1461017,2025-10-07 11:37:25.146,54.56,0,46,14994,16376,0,0,52.58,0,44,13562,16376,0,0,62.07,0,45,14556,16376,0,0,54.46,0,40,13562,16376,0,0
1759808245.3567996,2025-10-07 11:37:25.356,57.22,20,46,14994,16376,0,0,53.58,19,45,13562,16376,0,0,64.75,19,44,14556,16376,0,0,54.47,8,40,13562,16376,0,0
1759808245.5634115,2025-10-07 11:37:25.563,54.64,0,46,14994,16376,0,0,51.31,0,44,13562,16376,0,0,62.08,0,45,14556,16376,0,0,56.41,0,40,13562,16376,0,0
